T,M,Time
1,1,0.917514
1,10,18.764978
1,20,24.659723
1,30,33.693425
1,40,44.825491
1,50,60.177267
1,100,63.268248
10,1,1.032088
10,10,2.477350
10,20,3.470883
10,30,4.262633
10,40,5.605805
10,50,6.983881
10,100,7.459297
20,1,1.003498
20,10,1.968924
20,20,2.811496
20,30,3.188096
20,40,3.628653
20,50,4.086182
20,100,4.177220
