T,M,Time
1,1,0.273207
1,10,0.322795
1,20,0.298358
1,30,0.127865
1,40,0.317884
1,50,0.418552
1,100,0.341517
10,1,0.284223
10,10,0.106606
10,20,0.083998
10,30,0.223810
10,40,0.460625
10,50,0.258490
10,100,0.280699
20,1,0.312749
20,10,0.445551
20,20,0.324453
20,30,0.315513
20,40,0.324168
20,50,0.387188
20,100,0.240420
